frame,x,y,velocity,snr
66,-1.274,3.481,0.000,18.900
66,-2.500,2.577,0.000,18.900
66,-0.016,0.523,0.724,57.300
66,-0.208,0.332,-0.604,45.800
66,-0.356,0.166,-0.604,45.800
67,-0.079,0.037,0.000,40.600
67,0.065,0.058,0.000,40.600
67,0.959,1.662,0.000,16.000
67,-0.180,1.910,0.000,16.000
67,-1.145,3.479,0.000,21.500
67,-2.500,2.660,0.000,21.500
67,-1.319,3.603,0.000,18.200
67,-2.500,2.668,0.000,18.200
67,0.000,0.349,-0.966,45.700
67,-0.131,0.323,-0.966,45.700
67,-0.153,0.314,-0.604,42.500
67,-0.283,0.203,-0.604,42.500
68,-0.079,0.037,0.000,15.200
68,0.065,0.058,0.000,15.200
68,-0.105,0.287,0.000,29.800
68,-0.219,0.212,0.000,29.800
68,-0.117,1.871,0.000,15.800
68,0.645,1.761,0.000,15.800
68,-1.145,3.479,0.000,19.500
68,-2.500,2.660,0.000,19.500
68,-1.319,3.603,0.000,15.200
68,-2.500,2.668,0.000,15.200
69,-0.079,0.037,0.000,38.600
69,0.065,0.058,0.000,38.600
69,0.899,1.695,0.000,16.700
69,-0.120,1.915,0.000,16.700
69,-1.259,3.440,0.000,20.000
69,-0.142,0.319,0.604,47.600
69,-0.273,0.218,0.604,47.600
69,-0.055,0.345,-0.966,47.200
70,-0.079,0.037,0.000,40.000
70,0.065,0.058,0.000,40.000
70,-1.274,3.481,0.000,18.200
70,-2.500,2.577,0.000,18.200
70,-0.196,0.340,0.604,45.800
70,-0.343,0.190,0.604,45.800
70,-0.105,0.468,-0.845,39.600
71,-0.079,0.037,0.000,33.500
71,0.065,0.058,0.000,33.500
71,0.391,1.745,0.000,18.600
71,-0.223,1.774,0.000,18.600
71,0.959,1.662,0.000,16.800
71,0.060,1.918,0.000,16.800
71,-1.274,3.481,0.000,17.300
71,-2.500,2.577,0.000,17.300
71,-0.273,0.340,0.241,37.000
71,0.057,0.608,0.483,40.800
71,-0.172,0.586,0.483,40.800
72,-0.079,0.037,0.000,28.800
72,0.065,0.058,0.000,28.800
72,-0.056,1.787,0.000,20.300
72,-1.274,3.481,0.000,16.200
72,-2.500,2.577,0.000,16.200
72,0.038,0.609,-0.483,47.700
72,-0.191,0.580,-0.483,47.700
72,-0.273,0.340,-0.121,29.900
73,-0.079,0.037,0.000,39.400
73,0.065,0.058,0.000,39.400
73,0.112,1.784,0.000,22.000
73,0.899,1.695,0.000,15.100
73,0.000,1.919,0.000,15.100
73,-1.274,3.481,0.000,20.000
73,-2.500,2.577,0.000,20.000
73,-0.049,0.521,0.845,58.300
73,-0.208,0.332,-0.604,46.100
73,-0.356,0.166,-0.604,46.100
74,-0.079,0.037,0.000,39.300
74,0.065,0.058,0.000,39.300
74,0.391,1.745,0.000,19.200
74,-0.223,1.774,0.000,19.200
74,-0.060,1.918,0.000,16.700
74,0.959,1.662,0.000,16.700
74,-1.199,3.645,0.000,15.400
74,-2.500,2.668,0.000,15.400
74,-0.169,1.341,0.724,23.700
74,-0.025,0.392,-0.966,44.900
74,-0.172,0.353,-0.966,44.900
74,-0.174,0.302,-0.604,47.800
74,-0.305,0.169,-0.604,47.800
74,-0.531,0.381,-0.121,18.500
74,0.531,0.381,-0.121,18.500
75,-0.079,0.037,0.000,34.400
75,0.065,0.058,0.000,34.400
75,-0.531,0.381,0.000,15.000
75,0.531,0.381,0.000,15.000
75,0.858,1.618,0.000,17.200
75,-0.294,0.433,-0.845,26.500
75,-0.248,0.178,-0.362,41.800
75,-0.064,2.048,-0.362,15.500
75,1.345,1.546,-0.362,15.500
76,-0.079,0.037,0.000,32.100
76,0.065,0.058,0.000,32.100
76,-0.531,0.381,0.000,19.700
76,0.531,0.381,0.000,19.700
76,0.858,1.618,0.000,18.000
76,-0.238,0.191,0.362,41.800
76,-0.124,0.279,0.362,41.800
76,-0.131,0.507,-0.966,24.700
77,-0.079,0.037,0.000,39.700
77,0.065,0.058,0.000,39.700
77,0.391,1.745,0.000,19.800
77,-0.223,1.774,0.000,19.800
77,0.000,1.919,0.000,17.100
77,0.899,1.695,0.000,17.100
77,-1.158,3.521,0.000,15.700
77,-2.500,2.692,0.000,15.700
77,-1.199,3.645,0.000,16.600
77,-2.500,2.668,0.000,16.600
77,-0.531,0.381,0.121,16.200
77,-0.174,0.302,0.604,44.200
77,-0.305,0.169,0.604,44.200
77,0.027,0.435,-0.724,41.000
78,-0.079,0.037,0.000,40.600
78,0.065,0.058,0.000,40.600
